Group.1,Group.2,Experiment
11,1,FBgn0031074 inheritance
20,6,FBgn0031074 inheritance
77,29,FBgn0031074 inheritance
74,18,FBgn0031074 inheritance
23,3,FBgn0031074 inheritance
60,10,FBgn0031074 inheritance
48,13,FBgn0031074 inheritance
53,9,FBgn0031074 inheritance
55,10,FBgn0031074 inheritance
57,12,FBgn0031074 inheritance
10,3,FBgn0031074 inheritance
51,15,FBgn0031074 inheritance
28,2,FBgn0031074 inheritance
27,4,FBgn0031074 inheritance
73,12,FBgn0031074 inheritance
34,10,FBgn0031074 inheritance
77,24,FBgn0031074 inheritance
27,5,FBgn0031074 inheritance
72,11,FBgn0031074 inheritance
74,20,FBgn0031074 inheritance
3,35,FBgn0031074 Gresistance
7,25,FBgn0031074 Gresistance
11,39,FBgn0031074 Gresistance
3,30,FBgn0031074 Gresistance
3,21,FBgn0031074 Gresistance
6,27,FBgn0031074 Gresistance
2,23,FBgn0031074 Gresistance
2,30,FBgn0031074 Gresistance
12,45,FBgn0031074 Gresistance
7,29,FBgn0031074 Gresistance
1,23,FBgn0031074 Gresistance
1,3,FBgn0031074 Gresistance
3,45,FBgn0031074 Gresistance
0,5,FBgn0031074 Gresistance
2,8,FBgn0031074 Gresistance
9,43,FBgn0031074 Gresistance
7,25,FBgn0031074 Gresistance
1,7,FBgn0031074 Gresistance
2,37,FBgn0031074 Gresistance
7,25,FBgn0031074 Gresistance
1,26,FBgn0031074 Gresistance
5,28,FBgn0031074 Gresistance
2,21,FBgn0031074 Gresistance
0,4,FBgn0031074 Gresistance
7,25,FBgn0031074 Gresistance
2,14,FBgn0031074 Gresistance
2,12,FBgn0031074 Gresistance
3,45,FBgn0031074 Gresistance
3,14,FBgn0031074 Gresistance
10,34,FBgn0031074 Gresistance
1,14,FBgn0031074 Gresistance
6,41,FBgn0031074 Gresistance
7,43,FBgn0031074 Gresistance
0,13,FBgn0031074 embryo
1,9,FBgn0031074 embryo
0,28,FBgn0031074 embryo
0,11,FBgn0031074 embryo
