Group.1,Group.2,Experiment
6,44,FBgn0004400_2 Gresistance
17,36,FBgn0004400_2 Gresistance
5,56,FBgn0004400_2 Gresistance
2,51,FBgn0004400_2 Gresistance
5,43,FBgn0004400_2 Gresistance
10,1,FBgn0004400_2 embryo
19,4,FBgn0004400_2 embryo
10,3,FBgn0004400_2 embryo
11,8,FBgn0004400_2 embryo
18,3,FBgn0004400_2 embryo
15,5,FBgn0004400_2 embryo
26,7,FBgn0004400_2 embryo
9,9,FBgn0004400_2 embryo
7,2,FBgn0004400_2 embryo
5,3,FBgn0004400_2 embryo
12,6,FBgn0004400_2 embryo
22,6,FBgn0004400_2 embryo
12,5,FBgn0004400_2 embryo
11,9,FBgn0004400_2 embryo
12,2,FBgn0004400_2 embryo
14,7,FBgn0004400_2 embryo
24,4,FBgn0004400_2 embryo
12,5,FBgn0004400_2 embryo
53,7,FBgn0004400_3 inheritance
49,18,FBgn0004400_3 inheritance
44,9,FBgn0004400_3 inheritance
51,9,FBgn0004400_3 inheritance
48,13,FBgn0004400_3 inheritance
39,10,FBgn0004400_3 inheritance
58,14,FBgn0004400_3 inheritance
54,11,FBgn0004400_3 inheritance
55,10,FBgn0004400_3 inheritance
53,5,FBgn0004400_3 inheritance
43,8,FBgn0004400_3 inheritance
67,14,FBgn0004400_3 inheritance
42,17,FBgn0004400_3 inheritance
75,17,FBgn0004400_3 inheritance
33,8,FBgn0004400_3 inheritance
45,3,FBgn0004400_3 inheritance
46,13,FBgn0004400_3 inheritance
35,11,FBgn0004400_3 inheritance
38,19,FBgn0004400_3 inheritance
43,17,FBgn0004400_3 inheritance
40,4,FBgn0004400_3 inheritance
14,1,FBgn0004400_3 inheritance
32,9,FBgn0004400_3 inheritance
39,4,FBgn0004400_3 inheritance
33,4,FBgn0004400_3 inheritance
4,31,FBgn0004400_3 Gresistance
8,30,FBgn0004400_3 Gresistance
4,27,FBgn0004400_3 Gresistance
4,26,FBgn0004400_3 Gresistance
5,23,FBgn0004400_3 Gresistance
5,17,FBgn0004400_3 Gresistance
7,33,FBgn0004400_3 Gresistance
5,26,FBgn0004400_3 Gresistance
4,31,FBgn0004400_3 Gresistance
3,23,FBgn0004400_3 Gresistance
5,27,FBgn0004400_3 Gresistance
3,40,FBgn0004400_3 Gresistance
5,22,FBgn0004400_3 Gresistance
8,36,FBgn0004400_3 Gresistance
3,20,FBgn0004400_3 Gresistance
1,25,FBgn0004400_3 Gresistance
5,27,FBgn0004400_3 Gresistance
8,26,FBgn0004400_3 Gresistance
4,18,FBgn0004400_3 Gresistance
6,26,FBgn0004400_3 Gresistance
3,25,FBgn0004400_3 Gresistance
0,6,FBgn0004400_3 Gresistance
2,17,FBgn0004400_3 Gresistance
0,28,FBgn0004400_3 Gresistance
2,17,FBgn0004400_3 Gresistance
11,2,FBgn0004400_3 embryo
7,3,FBgn0004400_3 embryo
9,6,FBgn0004400_3 embryo
9,3,FBgn0004400_3 embryo
11,4,FBgn0004400_3 embryo
10,6,FBgn0004400_3 embryo
6,6,FBgn0004400_3 embryo
12,3,FBgn0004400_3 embryo
12,2,FBgn0004400_3 embryo
11,6,FBgn0004400_3 embryo
6,3,FBgn0004400_3 embryo
13,7,FBgn0004400_3 embryo
6,3,FBgn0004400_3 embryo
12,9,FBgn0004400_3 embryo
4,1,FBgn0004400_3 embryo
5,3,FBgn0004400_3 embryo
8,3,FBgn0004400_3 embryo
3,2,FBgn0004400_3 embryo
9,0,FBgn0004400_3 embryo
7,1,FBgn0004400_3 embryo
6,0,FBgn0004400_3 embryo
3,0,FBgn0004400_3 embryo
4,3,FBgn0004400_3 embryo
6,1,FBgn0004400_3 embryo
4,2,FBgn0004400_3 embryo
88,22,FBgn0004650 inheritance
81,18,FBgn0004650 inheritance
42,3,FBgn0004650 inheritance
37,5,FBgn0004650 inheritance
40,2,FBgn0004650 inheritance
40,7,FBgn0004650 inheritance
38,12,FBgn0004650 inheritance
20,5,FBgn0004650 inheritance
29,10,FBgn0004650 inheritance
30,3,FBgn0004650 inheritance
28,7,FBgn0004650 inheritance
36,13,FBgn0004650 inheritance
71,18,FBgn0004650 inheritance
69,5,FBgn0004650 inheritance
27,4,FBgn0004650 inheritance
72,19,FBgn0004650 inheritance
39,8,FBgn0004650 inheritance
10,54,FBgn0004650 Gresistance
7,47,FBgn0004650 Gresistance
1,19,FBgn0004650 Gresistance
1,18,FBgn0004650 Gresistance
1,24,FBgn0004650 Gresistance
4,26,FBgn0004650 Gresistance
6,20,FBgn0004650 Gresistance
2,10,FBgn0004650 Gresistance
6,14,FBgn0004650 Gresistance
0,16,FBgn0004650 Gresistance
1,17,FBgn0004650 Gresistance
3,19,FBgn0004650 Gresistance
9,40,FBgn0004650 Gresistance
4,39,FBgn0004650 Gresistance
3,15,FBgn0004650 Gresistance
8,41,FBgn0004650 Gresistance
4,21,FBgn0004650 Gresistance
14,2,FBgn0004650 embryo
15,3,FBgn0004650 embryo
13,1,FBgn0004650 embryo
8,1,FBgn0004650 embryo
8,1,FBgn0004650 embryo
7,1,FBgn0004650 embryo
8,0,FBgn0004650 embryo
7,0,FBgn0004650 embryo
6,2,FBgn0004650 embryo
8,1,FBgn0004650 embryo
