Group 1,Group 2,Experiment
62,15,ps3F inheritance
60,11,ps3F inheritance
63,20,ps3F inheritance
29,8,ps3F inheritance
87,16,ps3F inheritance
70,24,ps3F inheritance
24,9,ps3F inheritance
72,26,ps3F inheritance
25,9,ps3F inheritance
95,41,ps3M inheritance
59,22,ps3M inheritance
73,36,ps3M inheritance
62,38,ps3M inheritance
96,14,ps3M inheritance
99,44,ps3M inheritance
76,27,ps3M inheritance
48,19,ps3M inheritance
37,5,ps3M inheritance
26,11,rcdF inheritance
54,19,rcdF inheritance
8,1,rcdF inheritance
60,25,rcdF inheritance
46,30,rcdF inheritance
87,21,rcdF inheritance
58,32,rcdF inheritance
45,21,rcdF inheritance
37,11,rcdF inheritance
51,20,rcdF inheritance
100,48,rcdM inheritance
66,22,rcdM inheritance
74,26,rcdM inheritance
41,12,rcdM inheritance
46,22,rcdM inheritance
62,30,rcdM inheritance
61,24,rcdM inheritance
26,8,rcdM inheritance
51,19,rcdM inheritance
54,28,rcdM inheritance
46,31,RO3F inheritance
51,16,RO3F inheritance
66,15,RO3F inheritance
57,13,RO3F inheritance
54,19,RO3F inheritance
48,24,RO3F inheritance
46,9,RO3F inheritance
52,35,RO3M inheritance
80,35,RO3M inheritance
88,38,RO3M inheritance
26,2,RO3M inheritance
54,17,RO3M inheritance
42,20,RO3M inheritance
52,27,RO3M inheritance
54,23,RO3M inheritance
66,7,s02F inheritance
80,22,s02F inheritance
82,8,s02F inheritance
76,22,s02F inheritance
74,10,s02F inheritance
22,6,s02F inheritance
66,19,s02F inheritance
62,7,s02F inheritance
24,1,s02F inheritance
82,20,s02F inheritance
83,50,s02M inheritance
85,37,s02M inheritance
106,31,s02M inheritance
81,44,s02M inheritance
60,21,s02M inheritance
96,42,s02M inheritance
62,23,s02M inheritance
99,26,shuF inheritance
89,13,shuF inheritance
61,34,shuF inheritance
67,25,shuF inheritance
50,20,shuF inheritance
80,15,shuF inheritance
72,17,shuF inheritance
66,55,shuF inheritance
66,25,shuM inheritance
93,41,shuM inheritance
109,22,shuM inheritance
53,28,shuM inheritance
57,18,shuM inheritance
67,24,shuM inheritance
65,18,shuM inheritance
104,26,shuM inheritance
61,16,shuM inheritance
90,25,shuM inheritance
59,5,sp0F inheritance
45,11,sp0F inheritance
14,4,sp0F inheritance
10,4,sp0F inheritance
60,26,sp0F inheritance
102,13,sp0F inheritance
